project#,district,location,latitude,longitude,project_title
1,Stann Creek,Dangriga,16.960212,-88.221011,"Enhancing the Resilience of Belize’s Coastal Communities to Climate Change
Impacts Project"
1,Stann Creek,Hopkins,16.853291,-88.282704,"Enhancing the Resilience of Belize’s Coastal Communities to Climate Change
Impacts Project"
2,Corozal,Sarteneja,18.354729,-88.143997,Smart Coasts Project
2,Corozal,Chunox,18.296055,-88.356583,Smart Coasts Project
2,Corozal,Copperbank,18.321723,-88.355649,Smart Coasts Project
2,Corozal,Consejo,18.45624,-88.299446,Smart Coasts Project
2,Corozal,Corozal town,18.39845,-88.391891,Smart Coasts Project
2,Belize,Ambergris caye,18.03238,-87.927706,Smart Coasts Project
2,Belize,Caye caulker,17.762539,-88.028169,Smart Coasts Project
2,Stann Creek,Hopkins,16.853291,-88.282704,Smart Coasts Project
2,Stann Creek,Riversdale,16.6893396,-88.3109199,Smart Coasts Project
2,Stann Creek,Seine Bight,16.578164,-88.365891,Smart Coasts Project
2,Stann Creek,Placencia,16.517496,-88.368595,Smart Coasts Project
2,Stann Creek,Independence,16.533983,-88.422971,Smart Coasts Project
3,Belize,Hattieville,17.45003658,-88.39630669,Building community resilience via transformative adaptation
3,Belize,Crooked Tree Village,17.77790694,-88.54246624,Building community resilience via transformative adaptation
3,Corozal,Sarteneja,18.354729,-88.143997,Building community resilience via transformative adaptation
3,Cayo,Mopan River,17.02635191,-89.15145884,Building community resilience via transformative adaptation
3,Cayo,Macal River,16.91933972,-88.85070521,Building community resilience via transformative adaptation
4,Belize,Belize City,17.50639658,-88.21412846,Marine Conservation and Climate Adaptation Project
4,Corozal,Copperbank,18.321723,-88.355649,Marine Conservation and Climate Adaptation Project
4,Corozal,Chunox,18.296055,-88.356583,Marine Conservation and Climate Adaptation Project
4,Corozal,Consejo,18.45624,-88.299446,Marine Conservation and Climate Adaptation Project
4,Corozal,Corozal town,18.39845,-88.391891,Marine Conservation and Climate Adaptation Project
4,Corozal,Sarteneja,18.354729,-88.143997,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Seine Bight,16.578164,-88.365891,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Riversdale,16.6893396,-88.3109199,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Hopkins,16.853291,-88.282704,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Dangriga,16.960212,-88.221011,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Placencia,16.517496,-88.368595,Marine Conservation and Climate Adaptation Project
4,Stann Creek,Sittee River,16.81927163,-88.26975075,Marine Conservation and Climate Adaptation Project
5,Orange Walk,San Felipe,17.87322273,-88.77369413,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Orange Walk,Blue Creek,17.88342459,-88.86668185,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Orange Walk,Sylvester,0,0,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,Los Tambos,17.32323395,-89.01164868,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,La Gracia,17.3537891,-88.93312449,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,Yalbac,0,0,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,Buena Vista,17.25145131,-88.94133206,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,Spanish Lookout,17.27945593,-89.01794631,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
5,Cayo,Valley of Peace,17.32859754,-88.8414576,"Securing 96,000 hectares of the Selva Maya’s tropical forest for protection and
conservation"
6,Orange Walk,San Felipe,17.87322273,-88.77369413,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,Selena,0,0,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,Yalbac,0,0,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,La Gracia,17.3537891,-88.93312449,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,Buena Vista,17.25145131,-88.94133206,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,Los Tambos,17.32323395,-89.01164868,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
6,Cayo,Valley of Peace,17.32859754,-88.8414576,"Regenerative agriculture and reforestation with communities in the Belize Maya
Forest"
7,Belize,Caye Caulker,17.762539,-88.028169,Strengthening coral reef resilience through science for adaptive management
7,Belize,San Pedro,17.90994577,-87.97360864,Strengthening coral reef resilience through science for adaptive management
7,Belize,Ambergris caye,18.03238,-87.927706,Strengthening coral reef resilience through science for adaptive management
7,Belize,Turneffe Atoll Marine Reserve,17.38009301,-87.86441948,Strengthening coral reef resilience through science for adaptive management
8,Stann Creek,Pomona,16.99474018,-88.36977494,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Steadfast,16.99931398,-88.42481609,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Alta Visa,16.98760271,-88.40233217,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Hummingbird,0,0,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Placencia,16.517496,-88.368595,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Dangriga,16.960212,-88.221011,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Hopkins,16.853291,-88.282704,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Seine Bight,16.578164,-88.365891,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Riversdale,16.6893396,-88.3109199,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Stann Creek,Sittee River,16.81927163,-88.26975075,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Toledo,Monkey River,16.36586901,-88.48653231,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Belize,Belize River,0,0,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
8,Belize,Sibun River,0,0,"Enhancing reef health through a Ridge to Reef Program for improved watershed
management and enhanced water quality monitoring in Belize"
9,Toledo,Monkey River,16.36586901,-88.48653231,Restoration of riparian forest in Monkey River
10,Corozal,Sarteneja,18.354729,-88.143997,Increased protection of species in the Corozal Bay Wildlife Sanctuary
11,Stann Creek,Riversdale,16.6893396,-88.3109199,"Protection and conservation of commercial species and fish spawning aggregation
sites in Sapodilla Cayes Marine Reserve"
11,Stann Creek,Hopkins,16.853291,-88.282704,"Protection and conservation of commercial species and fish spawning aggregation
sites in Sapodilla Cayes Marine Reserve"
11,Stann Creek,Placencia,16.517496,-88.368595,"Protection and conservation of commercial species and fish spawning aggregation
sites in Sapodilla Cayes Marine Reserve"
11,Toledo,Monkey River,16.36586901,-88.48653231,"Protection and conservation of commercial species and fish spawning aggregation
sites in Sapodilla Cayes Marine Reserve"
11,Toledo,Punta River,0,0,"Protection and conservation of commercial species and fish spawning aggregation
sites in Sapodilla Cayes Marine Reserve"
12,Toledo,Punta Negra,0,0,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Monkey River,16.36586901,-88.48653231,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Golden Stream,16.36056649,-88.80064286,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Medina Bank,16.43900774,-88.74467419,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Cattle Landing,0,0,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Bladen,16.48240586,-88.60080555,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,San Pedro Columbia,16.26939994,-88.95477167,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Indian Creek,16.31173251,-88.83553898,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
12,Toledo,Big Falls,16.26152455,-88.88558704,"Building capacities in forest fire management among Indigenous Peoples and local
communities"
13,Cayo,St. Margaret Village,17.09213814,-88.61159072,Sustainable management of the Five Blues Lake National Park
14,Cayo,Arenal,17.02274388,-89.1501363,"Strengthening the capacity of farmers and local communities to adapt to climate
change in the Vaca Forest Reserve"
14,Cayo,San Jose Succotz,17.08385839,-89.12834739,"Strengthening the capacity of farmers and local communities to adapt to climate
change in the Vaca Forest Reserve"
14,Cayo,Benque Viejo del Carmen,17.07124407,-89.1353588,"Strengthening the capacity of farmers and local communities to adapt to climate
change in the Vaca Forest Reserve"
